SystemCodeNumber, Capacity, DisabledCapacity, ShortDescription, Northing, Easting, State, Fault, Occupancy, Occupancy_trend, OccupancyPercentage, FillRate, ExitRate, QueueTime, LastUpdated,geom
BHMAPCARC01,549,0, Arcadian,286250.00,407182.00, OPEN, ,311, Emptying,56,0.5,2.7,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.89570769952601,52.4741448320925]}"
BHMBCCMKT01,577,0, Markets,286422.00,407459.00, OPEN, ,113, Emptying,19,0.0,1.1,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.89162588584791,52.4756874491532]}"
BHMBCCPDC01,485,6, Paradise Circus,286968.00,406349.00, UNKNOWN, Unknown,0, Static,0,0.0,0.0,0, 2016-06-12 05:35:03,"{""type"":""Point"",""coordinates"":[-1.90795780703258,52.4806097573545]}"
BHMBCCPST01,317,0, Pershore Street,286189.00,407304.00, OPEN, ,191, Emptying,60,0.2,0.7,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.89391291591237,52.4735948530323]}"
BHMBCCSNH01,863,0, Snow Hill,287278.00,406935.00, OPEN, ,648, Emptying,75,0.1,1.2,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.89932303848672,52.4833896351831]}"
BHMBCCTHL01,387,6, Town Hall,286662.00,406665.00, UNKNOWN, Unknown,279, Filling,0,1.0,0.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.90331094508895,52.4778551356331]}"
BHMBRCBRG01,1010,0, Bull Ring Centre,286666.00,407354.00, OPEN, ,577, Emptying,57,2.3,3.6,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.89316646572992,52.477882397754]}"
BHMBRCBRG02,1194,0, Moor Street,286685.00,407496.00, OPEN, ,592, Emptying,49,1.6,3.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.8910753275301,52.4780513060292]}"
BHMBRCBRG03,845,0, Edgbaston Street (by Debenhams),286447.00,407202.00, OPEN, ,274, Emptying,32,0.6,1.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.89540907120526,52.4759155930127]}"
BHMBRTARC01,496,0, Arena Central,286620.00,406450.00, OPEN, ,406, Static,90,0.3,0.3,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.90647726554014,52.4774800938174]}"
BHMEURBRD01,470,0, Broad Street 1,286197.00,405853.00, OPEN, ,368, Filling,78,0.5,0.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.91527431564252,52.4736839410639]}"
BHMEURBRD02,220,0, Broad Street 2,286197.00,405853.00, OPEN, ,137, Emptying,62,0.0,0.4,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.91527431564252,52.4736839410639]}"
BHMMBMMBX01,687,0, Mailbox,286559.00,406636.00, OPEN, ,444, Emptying,64,0.5,1.5,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.90373993650379,52.4769295179834]}"
BHMNCPHST01,1200,2, NCP High Street,287012.00,407374.00, OPEN, ,748, Emptying,74,1.4,2.1,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.89286446595474,52.4809926522192]}"
BHMNCPLDH01,720,0, NCP Londonderry House,287155.00,407372.00, OPEN, ,540, Emptying,75,0.6,1.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.89289080207828,52.4822782400258]}"
BHMNCPNHS01,500,0, NCP Newhall Street,287410.00,406418.00, OPEN, ,344, Filling,68,0.8,0.6,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.90693347573404,52.4845825193159]}"
BHMNCPNST01,485,0, NCP New Street,286435.00,406861.00, OPEN, ,185, Emptying,38,0.3,0.4,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.90042975837933,52.4758120317085]}"
BHMNCPPLS01,450,0, NCP Grand Central,286623.00,406902.00, OPEN, ,138, Emptying,30,0.3,0.8,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.89982230276385,52.4775016340585]}"
BHMNCPRAN01,600,0, NCP Royal Angus,287439.00,407071.00, OPEN, ,417, Emptying,69,0.5,1.1,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.89731705105388,52.4848352993667]}"
Broad Street,690,0, Broad Street,286197.00,405853.00, OTHER, ,505, Faulty,73,0.0,0.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.91527431564252,52.4736839410639]}"
Bull Ring,3049,0, Bull Ring,0.00,0.00, OTHER, ,1443, Faulty,47,0.0,0.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-7.55717012762196,49.7668123698548]}"
NIA Car Parks,1268,0, NIA Car Parks,0.00,0.00, OTHER, ,221, Faulty,17,0.0,0.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-7.55717012762196,49.7668123698548]}"
NIA North,480,13, NIA - North,286946.00,405874.00, UNKNOWN, Unknown,3, Filling,0,0.0,0.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.91495222179212,52.4804171937323]}"
NIA South,788,48, NIA - South,286779.00,405736.00, UNKNOWN, Unknown,218, Filling,0,3.0,0.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.91698697899053,52.4789173100666]}"
NIA West,663,3, NIA - West,286852.00,405738.00, UNKNOWN, Unknown,21, Filling,0,0.0,0.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-1.91695630074478,52.4795735557259]}"
Others-CCCPS105a,2009,0, Others-CCCPS105a,0.00,0.00, OTHER, ,1046, Faulty,52,0.0,0.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-7.55717012762196,49.7668123698548]}"
Others-CCCPS119a,2803,0, Others-CCCPS119a,0.00,0.00, OTHER, ,521, Faulty,19,0.0,0.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-7.55717012762196,49.7668123698548]}"
Others-CCCPS133,4671,0, Others-CCCPS133,0.00,0.00, OTHER, ,2210, Faulty,47,0.0,0.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-7.55717012762196,49.7668123698548]}"
Others-CCCPS135a,3883,0, Others-CCCPS135a,0.00,0.00, OTHER, ,2697, Faulty,69,0.0,0.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-7.55717012762196,49.7668123698548]}"
Others-CCCPS202,2937,0, Others-CCCPS202,0.00,0.00, OTHER, ,969, Faulty,47,0.0,0.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-7.55717012762196,49.7668123698548]}"
Others-CCCPS8,1322,0, Others-CCCPS8,0.00,0.00, OTHER, ,602, Faulty,46,0.0,0.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-7.55717012762196,49.7668123698548]}"
Others-CCCPS98,3103,0, Others-CCCPS98,0.00,0.00, OTHER, ,871, Faulty,28,0.0,0.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-7.55717012762196,49.7668123698548]}"
Shopping,1920,0, Shopping,0.00,0.00, OTHER, ,1288, Faulty,67,0.0,0.0,0, 2017-04-28 14:54:55,"{""type"":""Point"",""coordinates"":[-7.55717012762196,49.7668123698548]}"
