"","x"
"1","BHMBCCMKT01"
"2","BHMBCCMKT01"
"3","BHMBCCMKT01"
"4","BHMBCCMKT01"
"5","BHMBCCMKT01"
"6","BHMBCCMKT01"
"7","BHMBCCMKT01"
"8","BHMBCCMKT01"
"9","BHMBCCMKT01"
"10","BHMBCCMKT01"
"11","BHMBCCMKT01"
"12","BHMBCCPST01"
"13","BHMBCCPST01"
"14","BHMBCCPST01"
"15","BHMBCCPST01"
"16","BHMBCCPST01"
"17","BHMBCCPST01"
"18","BHMBCCPST01"
"19","BHMBCCPST01"
"20","BHMBCCPST01"
"21","BHMBCCPST01"
"22","BHMBCCPST01"
"23","BHMBCCSNH01"
"24","BHMBCCSNH01"
"25","BHMBCCSNH01"
"26","BHMBCCSNH01"
"27","BHMBCCSNH01"
"28","BHMBCCSNH01"
"29","BHMBCCSNH01"
"30","BHMBCCSNH01"
"31","BHMBCCSNH01"
"32","BHMBCCSNH01"
"33","BHMBCCSNH01"
"34","BHMBCCTHL01"
"35","BHMBCCTHL01"
"36","BHMBCCTHL01"
"37","BHMBCCTHL01"
"38","BHMBCCTHL01"
"39","BHMBCCTHL01"
"40","BHMBCCTHL01"
"41","BHMBCCTHL01"
"42","BHMBCCTHL01"
"43","BHMBCCTHL01"
"44","BHMBCCTHL01"
"45","BHMBRCBRG01"
"46","BHMBRCBRG01"
"47","BHMBRCBRG01"
"48","BHMBRCBRG01"
"49","BHMBRCBRG01"
"50","BHMBRCBRG01"
"51","BHMBRCBRG01"
"52","BHMBRCBRG01"
"53","BHMBRCBRG01"
"54","BHMBRCBRG01"
"55","BHMBRCBRG01"
"56","BHMBRCBRG02"
"57","BHMBRCBRG02"
"58","BHMBRCBRG02"
"59","BHMBRCBRG02"
"60","BHMBRCBRG02"
"61","BHMBRCBRG02"
"62","BHMBRCBRG02"
"63","BHMBRCBRG02"
"64","BHMBRCBRG02"
"65","BHMBRCBRG02"
"66","BHMBRCBRG02"
"67","BHMBRCBRG03"
"68","BHMBRCBRG03"
"69","BHMBRCBRG03"
"70","BHMBRCBRG03"
"71","BHMBRCBRG03"
"72","BHMBRCBRG03"
"73","BHMBRCBRG03"
"74","BHMBRCBRG03"
"75","BHMBRCBRG03"
"76","BHMBRCBRG03"
"77","BHMBRCBRG03"
"78","BHMEURBRD01"
"79","BHMEURBRD01"
"80","BHMEURBRD01"
"81","BHMEURBRD01"
"82","BHMEURBRD01"
"83","BHMEURBRD01"
"84","BHMEURBRD01"
"85","BHMEURBRD01"
"86","BHMEURBRD01"
"87","BHMEURBRD01"
"88","BHMEURBRD01"
"89","BHMEURBRD02"
"90","BHMEURBRD02"
"91","BHMEURBRD02"
"92","BHMEURBRD02"
"93","BHMEURBRD02"
"94","BHMEURBRD02"
"95","BHMEURBRD02"
"96","BHMEURBRD02"
"97","BHMEURBRD02"
"98","BHMEURBRD02"
"99","BHMEURBRD02"
"100","BHMMBMMBX01"
"101","BHMMBMMBX01"
"102","BHMMBMMBX01"
"103","BHMMBMMBX01"
"104","BHMMBMMBX01"
"105","BHMMBMMBX01"
"106","BHMMBMMBX01"
"107","BHMMBMMBX01"
"108","BHMMBMMBX01"
"109","BHMMBMMBX01"
"110","BHMMBMMBX01"
"111","BHMNCPHST01"
"112","BHMNCPHST01"
"113","BHMNCPHST01"
"114","BHMNCPHST01"
"115","BHMNCPHST01"
"116","BHMNCPHST01"
"117","BHMNCPHST01"
"118","BHMNCPHST01"
"119","BHMNCPHST01"
"120","BHMNCPHST01"
"121","BHMNCPHST01"
"122","BHMNCPLDH01"
"123","BHMNCPLDH01"
"124","BHMNCPLDH01"
"125","BHMNCPLDH01"
"126","BHMNCPLDH01"
"127","BHMNCPLDH01"
"128","BHMNCPLDH01"
"129","BHMNCPLDH01"
"130","BHMNCPLDH01"
"131","BHMNCPLDH01"
"132","BHMNCPLDH01"
"133","BHMNCPNHS01"
"134","BHMNCPNHS01"
"135","BHMNCPNHS01"
"136","BHMNCPNHS01"
"137","BHMNCPNHS01"
"138","BHMNCPNHS01"
"139","BHMNCPNHS01"
"140","BHMNCPNHS01"
"141","BHMNCPNHS01"
"142","BHMNCPNHS01"
"143","BHMNCPNHS01"
"144","BHMNCPNST01"
"145","BHMNCPNST01"
"146","BHMNCPNST01"
"147","BHMNCPNST01"
"148","BHMNCPNST01"
"149","BHMNCPNST01"
"150","BHMNCPNST01"
"151","BHMNCPNST01"
"152","BHMNCPNST01"
"153","BHMNCPNST01"
"154","BHMNCPNST01"
"155","BHMNCPPLS01"
"156","BHMNCPPLS01"
"157","BHMNCPPLS01"
"158","BHMNCPPLS01"
"159","BHMNCPPLS01"
"160","BHMNCPPLS01"
"161","BHMNCPPLS01"
"162","BHMNCPPLS01"
"163","BHMNCPPLS01"
"164","BHMNCPPLS01"
"165","BHMNCPPLS01"
"166","BHMNCPRAN01"
"167","BHMNCPRAN01"
"168","BHMNCPRAN01"
"169","BHMNCPRAN01"
"170","BHMNCPRAN01"
"171","BHMNCPRAN01"
"172","BHMNCPRAN01"
"173","BHMNCPRAN01"
"174","BHMNCPRAN01"
"175","BHMNCPRAN01"
"176","BHMNCPRAN01"
"177","Broad Street"
"178","Broad Street"
"179","Broad Street"
"180","Broad Street"
"181","Broad Street"
"182","Broad Street"
"183","Broad Street"
"184","Broad Street"
"185","Broad Street"
"186","Broad Street"
"187","Broad Street"
"188","Bull Ring"
"189","Bull Ring"
"190","Bull Ring"
"191","Bull Ring"
"192","Bull Ring"
"193","Bull Ring"
"194","Bull Ring"
"195","Bull Ring"
"196","Bull Ring"
"197","Bull Ring"
"198","Bull Ring"
"199","NIA Car Parks"
"200","NIA Car Parks"
"201","NIA Car Parks"
"202","NIA Car Parks"
"203","NIA Car Parks"
"204","NIA Car Parks"
"205","NIA Car Parks"
"206","NIA Car Parks"
"207","NIA Car Parks"
"208","NIA Car Parks"
"209","NIA Car Parks"
"210","NIA South"
"211","NIA South"
"212","NIA South"
"213","NIA South"
"214","NIA South"
"215","NIA South"
"216","NIA South"
"217","NIA South"
"218","NIA South"
"219","NIA South"
"220","NIA South"
"221","Others-CCCPS105a"
"222","Others-CCCPS105a"
"223","Others-CCCPS105a"
"224","Others-CCCPS105a"
"225","Others-CCCPS105a"
"226","Others-CCCPS105a"
"227","Others-CCCPS105a"
"228","Others-CCCPS105a"
"229","Others-CCCPS105a"
"230","Others-CCCPS105a"
"231","Others-CCCPS105a"
"232","Others-CCCPS119a"
"233","Others-CCCPS119a"
"234","Others-CCCPS119a"
"235","Others-CCCPS119a"
"236","Others-CCCPS119a"
"237","Others-CCCPS119a"
"238","Others-CCCPS119a"
"239","Others-CCCPS119a"
"240","Others-CCCPS119a"
"241","Others-CCCPS119a"
"242","Others-CCCPS119a"
"243","Others-CCCPS133"
"244","Others-CCCPS133"
"245","Others-CCCPS133"
"246","Others-CCCPS133"
"247","Others-CCCPS133"
"248","Others-CCCPS133"
"249","Others-CCCPS133"
"250","Others-CCCPS133"
"251","Others-CCCPS133"
"252","Others-CCCPS133"
"253","Others-CCCPS133"
"254","Others-CCCPS135a"
"255","Others-CCCPS135a"
"256","Others-CCCPS135a"
"257","Others-CCCPS135a"
"258","Others-CCCPS135a"
"259","Others-CCCPS135a"
"260","Others-CCCPS135a"
"261","Others-CCCPS135a"
"262","Others-CCCPS135a"
"263","Others-CCCPS135a"
"264","Others-CCCPS135a"
"265","Others-CCCPS202"
"266","Others-CCCPS202"
"267","Others-CCCPS202"
"268","Others-CCCPS202"
"269","Others-CCCPS202"
"270","Others-CCCPS202"
"271","Others-CCCPS202"
"272","Others-CCCPS202"
"273","Others-CCCPS202"
"274","Others-CCCPS202"
"275","Others-CCCPS202"
"276","Others-CCCPS8"
"277","Others-CCCPS8"
"278","Others-CCCPS8"
"279","Others-CCCPS8"
"280","Others-CCCPS8"
"281","Others-CCCPS8"
"282","Others-CCCPS8"
"283","Others-CCCPS8"
"284","Others-CCCPS8"
"285","Others-CCCPS8"
"286","Others-CCCPS8"
"287","Others-CCCPS98"
"288","Others-CCCPS98"
"289","Others-CCCPS98"
"290","Others-CCCPS98"
"291","Others-CCCPS98"
"292","Others-CCCPS98"
"293","Others-CCCPS98"
"294","Others-CCCPS98"
"295","Others-CCCPS98"
"296","Others-CCCPS98"
"297","Others-CCCPS98"
"298","Shopping"
"299","Shopping"
"300","Shopping"
"301","Shopping"
"302","Shopping"
"303","Shopping"
"304","Shopping"
"305","Shopping"
"306","Shopping"
"307","Shopping"
"308","Shopping"
